Date,google
2014-06-29,28
2014-07-06,31
2014-07-13,34
2014-07-20,26
2014-07-27,27
2014-08-03,25
2014-08-10,27
2014-08-17,26
2014-08-24,29
2014-08-31,32
2014-09-07,30
2014-09-14,34
2014-09-21,34
2014-09-28,38
2014-10-05,44
2014-10-12,51
2014-10-19,49
2014-10-26,39
2014-11-02,46
2014-11-09,50
2014-11-16,49
2014-11-23,41
2014-11-30,43
2014-12-07,51
2014-12-14,56
2014-12-21,60
2014-12-28,58
2015-01-04,65
2015-01-11,60
2015-01-18,59
2015-01-25,53
2015-02-01,56
2015-02-08,58
2015-02-15,59
2015-02-22,52
2015-03-01,49
2015-03-08,54
2015-03-15,48
2015-03-22,50
2015-03-29,44
2015-04-05,49
2015-04-12,55
2015-04-19,41
2015-04-26,45
2015-05-03,43
2015-05-10,42
2015-05-17,46
2015-05-24,40
2015-05-31,41
2015-06-07,41
2015-06-14,45
2015-06-21,42
2015-06-28,38
2015-07-05,29
2015-07-12,33
2015-07-19,33
2015-07-26,31
2015-08-02,30
2015-08-09,30
2015-08-16,28
2015-08-23,31
2015-08-30,37
2015-09-06,47
2015-09-13,47
2015-09-20,50
2015-09-27,46
2015-10-04,43
2015-10-11,60
2015-10-18,53
2015-10-25,50
2015-11-01,49
2015-11-08,54
2015-11-15,55
2015-11-22,57
2015-11-29,62
2015-12-06,59
2015-12-13,63
2015-12-20,59
2015-12-27,62
2016-01-03,61
2016-01-10,63
2016-01-17,66
2016-01-24,69
2016-01-31,82
2016-02-07,89
2016-02-14,100
2016-02-21,95
2016-02-28,87
2016-03-06,73
2016-03-13,68
2016-03-20,60
2016-03-27,67
2016-04-03,57
2016-04-10,55
2016-04-17,43
2016-04-24,47
2016-05-01,44
2016-05-08,40
2016-05-15,44
2016-05-22,43
2016-05-29,38
2016-06-05,35
2016-06-12,42
2016-06-19,32
2016-06-26,33
2016-07-03,30
2016-07-10,35
2016-07-17,36
2016-07-24,41
2016-07-31,31
2016-08-07,32
2016-08-14,36
2016-08-21,39
2016-08-28,41
2016-09-04,37
2016-09-11,41
2016-09-18,45
2016-09-25,37
2016-10-02,46
2016-10-09,52
2016-10-16,55
2016-10-23,55
2016-10-30,61
2016-11-06,58
2016-11-13,61
2016-11-20,54
2016-11-27,63
2016-12-04,58
2016-12-11,63
2016-12-18,57
2016-12-25,66
2017-01-01,58
2017-01-08,61
2017-01-15,54
2017-01-22,53
2017-01-29,60
2017-02-05,65
2017-02-12,58
2017-02-19,54
2017-02-26,56
2017-03-05,59
2017-03-12,56
2017-03-19,60
2017-03-26,56
2017-04-02,62
2017-04-09,52
2017-04-16,49
2017-04-23,53
2017-04-30,50
2017-05-07,47
2017-05-14,49
2017-05-21,49
2017-05-28,47
2017-06-04,50
2017-06-11,51
2017-06-18,54
2017-06-25,52
2017-07-02,51
2017-07-09,48
2017-07-16,51
2017-07-23,40
2017-07-30,40
2017-08-06,38
2017-08-13,38
2017-08-20,37
2017-08-27,38
2017-09-03,46
2017-09-10,46
2017-09-17,49
2017-09-24,53
2017-10-01,52
2017-10-08,54
2017-10-15,57
2017-10-22,63
2017-10-29,70
2017-11-05,66
2017-11-12,61
2017-11-19,68
2017-11-26,66
2017-12-03,68
2017-12-10,70
2017-12-17,83
2017-12-24,86
2017-12-31,88
2018-01-07,85
2018-01-14,83
2018-01-21,73
2018-01-28,79
2018-02-04,74
2018-02-11,74
2018-02-18,82
2018-02-25,77
2018-03-04,76
2018-03-11,73
2018-03-18,79
2018-03-25,70
2018-04-01,62
2018-04-08,66
2018-04-15,55
2018-04-22,53
2018-04-29,47
2018-05-06,46
2018-05-13,40
2018-05-20,44
2018-05-27,43
2018-06-03,43
2018-06-10,48
2018-06-17,41
2018-06-24,41
2018-07-01,42
2018-07-08,40
2018-07-15,45
2018-07-22,41
2018-07-29,40
2018-08-05,42
2018-08-12,47
2018-08-19,44
2018-08-26,48
2018-09-02,52
2018-09-09,52
2018-09-16,55
2018-09-23,55
2018-09-30,65
2018-10-07,64
2018-10-14,61
2018-10-21,70
2018-10-28,74
2018-11-04,61
2018-11-11,62
2018-11-18,59
2018-11-25,66
2018-12-02,68
2018-12-09,71
2018-12-16,77
2018-12-23,72
2018-12-30,82
2019-01-06,82
2019-01-13,72
2019-01-20,80
2019-01-27,84
2019-02-03,70
2019-02-10,77
2019-02-17,73
2019-02-24,66
2019-03-03,70
2019-03-10,69
2019-03-17,66
2019-03-24,67
2019-03-31,65
2019-04-07,62
2019-04-14,53
2019-04-21,49
2019-04-28,52
2019-05-05,62
2019-05-12,53
2019-05-19,57
2019-05-26,53
2019-06-02,59
2019-06-09,56
2019-06-16,54
2019-06-23,48
